"W_TRAINO"	"Imposible funcionar sin subir el traino"		"w"
"AL_PAROCCM1"	"Paro de emergencia Seta del cuadro de control"		"a"
"AL_PAROC1"	"Paro de emergencia Seta del cuadro rebobinadora 1"		"a"
"AL_PAROC2"	"Paro de emergencia Seta del cuadro desbobinadora"		"a"
"AL_PAROC3"	"Paro de emergencia Seta del cuadro rebobinadora 2"		"a"
"AL_PAROC4"	"Paro de emergencia Seta del cuadro de pisones de mesa, desbobinadora"		"a"
"W_BRAZOD"	"Imposible funcionar, subir el brazo del desbobinador"		"w"
"W_BRAZOR1"	"Imposible funcionar, subir el brazo del rebobinador1"		"w"
"W_BRAZOR2"	"Imposible funcionar, subir el brazo del rebobinador2"		"w"
"W_GLOBOD"	"Imposible funcionar, hinchar el eje del desbobinador"		"w"
"W_GLOBOR1"	"Imposible funcionar, hinchar el eje del rebobinador1"		"w"
"W_GLOBOR2"	"Imposible funcionar, hinchar el eje del rebobinador2"		"w"
"W_METROSALCZ"	"Parada por metros alcanzada"		"w"
"W_DIAMETROALCZ"	"Parada por diámetro alcanzada"		"w"
"AL_ETHCAT_D"	"ERROR de comunicaciones Ethercat en el driver 1"		"a"
"AL_ETHCAT_R1"	"ERROR de comunicaciones Ethercat en el driver 2"		"a"
"AL_ETHCAT_R2"	"ERROR de comunicaciones Ethercat en el driver 3"		"a"
"AL_ETHCAT_T"	"ERROR de comunicaciones Ethercat en el driver 4"		"a"

